Symbol,Buy Date,Buy Price,Sell Date,Sell Price,Gain,Gain %,Days,Annual Gain %
3MINDIA,2021-12-27,24963.4,2022-07-26,22907.9,-2055.5,-8.23,211,-14.24
CYIENT,2021-12-29,983,2022-02-02,1003.1,20.1,2.04,35,21.27
RATNAMANI,2021-12-31,1296.3,2022-03-08,1458.4,162.1,12.5,67,68.1
RITES,2022-01-04,266.4,2022-04-21,274.75,8.35,3.13,107,10.68
SUNTV,2022-01-12,513.3,2022-09-06,512.75,-0.55,-0.11,237,-0.17
CRISIL,2022-02-04,2798.3,2022-02-16,2832.1,33.8,1.21,12,36.8
GODFRYPHLP,2022-02-08,1096.7,2022-05-09,1174.85,78.15,7.13,90,28.92
CRISIL,2022-02-21,2785.15,2022-04-21,3254.45,469.3,16.85,59,104.24
LTTS,2022-02-21,4365.75,2022-04-08,4993,627.25,14.37,46,114.02
BSOFT,2022-02-23,414.8,2023-06-12,337.7,-77.1,-18.59,474,-14.32
COFORGE,2022-02-24,4226.05,2022-11-24,3947.9,-278.15,-6.58,273,-8.8
SONACOMS,2022-02-24,595.9,2022-04-18,622.55,26.65,4.47,53,30.78
APARINDS,2022-03-02,624.45,2022-04-11,669.6,45.15,7.23,40,65.97
CYIENT,2022-03-08,915.15,2022-12-14,828.75,-86.4,-9.44,281,-12.26
ZFCVINDIA,2022-03-11,7191.7,2022-05-02,7890,698.3,9.71,52,68.16
BASF,2022-03-15,2860.75,2022-09-06,3196.25,335.5,11.73,175,24.47
SKFINDIA,2022-03-15,3233.85,2022-04-21,3367.85,134,4.14,37,40.84
DEEPAKNTR,2022-03-15,2200.25,2022-04-13,2297.45,97.2,4.42,29,55.63
CARBORUNIV,2022-03-15,801.4,2022-08-23,818.65,17.25,2.15,161,4.87
KAJARIACER,2022-03-21,1059.6,2022-08-25,1174.35,114.75,10.83,157,25.18
GUJGASLTD,2022-03-28,482.25,2022-12-01,508.3,26.05,5.4,248,7.95
LTTS,2022-05-19,3504,2022-12-13,3905.05,401.05,11.45,208,20.09
SKFINDIA,2022-05-25,3233.05,2022-06-28,3546.65,313.6,9.7,34,104.13
DEEPAKNTR,2022-06-03,1958.1,2022-10-04,2107.45,149.35,7.63,123,22.64
ZFCVINDIA,2022-06-08,7714.65,2022-09-02,9649.8,1935.15,25.08,86,106.44
MSUMI,2022-06-09,46.54,2022-08-02,55.36,8.82,18.95,54,128.09
GRINDWELL,2022-06-30,1683.05,2022-09-06,2204.9,521.85,31.01,68,166.45
PETRONET,2022-07-12,216.4,2022-08-16,217.8,1.4,0.65,35,6.78
GODFRYPHLP,2022-07-18,1074.15,2022-08-24,1148.3,74.15,6.9,37,68.07
CRISIL,2022-10-10,3133.7,2023-03-08,3385.75,252.05,8.04,149,19.7
PETRONET,2022-10-17,200.95,2022-11-30,212.65,11.7,5.82,44,48.28
BASF,2022-10-25,2833.6,2023-06-28,2619.5,-214.1,-7.56,246,-11.22
KAJARIACER,2022-11-22,1045.25,2022-12-26,1090.85,45.6,4.36,34,46.81
COROMANDEL,2022-11-29,918.5,2023-05-10,960.2,41.7,4.54,162,10.23
PAGEIND,2022-12-14,45354.9,2023-09-06,40806.4,-4548.5,-10.03,266,-13.76
PETRONET,2022-12-21,211.55,2022-12-27,211.9,0.35,0.17,6,10.34
GUJGASLTD,2023-01-24,469.45,2023-03-16,496.8,27.35,5.83,51,41.72
SUNTV,2023-02-07,457.65,2023-08-08,543.2,85.55,18.69,182,37.48
LTTS,2023-02-07,3446.4,2023-03-17,3570.1,123.7,3.59,38,34.48
KAJARIACER,2023-02-15,1081.45,2023-05-12,1174.9,93.45,8.64,86,36.67
SUMICHEM,2023-02-21,459.35,2023-10-05,440.8,-18.55,-4.04,226,-6.52
3MINDIA,2023-03-21,22733,2023-03-29,23095,362,1.59,8,72.54
TIMKEN,2023-03-31,2755.45,2023-05-26,3137,381.55,13.85,56,90.27
GRINDWELL,2023-04-03,1862.95,2023-06-13,2108.55,245.6,13.18,71,67.76
SKFINDIA,2023-04-12,4276.15,2023-06-13,4801.3,525.15,12.28,62,72.29
LTTS,2023-04-13,3529.85,2023-05-26,3878.25,348.4,9.87,43,83.78
COFORGE,2023-04-20,3813.45,2023-06-16,4594.25,780.8,20.47,57,131.08
3MINDIA,2023-04-25,22296.2,2023-06-23,26977,4680.8,20.99,59,129.85
IGL,2023-08-25,440.8,2023-09-29,454.85,14.05,3.19,35,33.27
GSPL,2023-09-04,276.5,2023-10-11,287.4,10.9,3.94,37,38.87
TIMKEN,2023-09-12,3158.55,2024-01-04,3220.5,61.95,1.96,114,6.28
SUMICHEM,2023-10-13,427.95,2024-01-02,414.35,-13.6,-3.18,81,-14.33
CARBORUNIV,2023-11-20,1091.6,2024-01-05,1145.5,53.9,4.94,46,39.2
IGL,2023-11-28,389.6,2024-02-06,453.85,64.25,16.49,70,85.98
IGL,2024-02-23,437.8,2024-03-05,458.55,20.75,4.74,11,157.28
